PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Ian Cole,IAN COLE,,,,,410.0,22.47,80.0,UTA
Andrew Agozzino,ANDREW AGOZZINO,,,,,5.0,0.46,1.0,UTA
Olli Määttä,OLLI M TT,,,,,152.0,7.8,31.0,UTA
Liam O'Brien,LIAM O'BRIEN,,,,,59.0,3.43,18.0,UTA
Nate Schmidt,NATE SCHMIDT,,,,,558.0,30.25,119.0,UTA
Nick Schmaltz,NICK SCHMALTZ,,,,,530.0,33.56,106.0,UTA
Lawson Crouse,LAWSON CROUSE,,,,,368.0,19.08,81.0,UTA
John Marino,JOHN MARINO,,,,,511.0,25.99,110.0,UTA
Kevin Stenlund,KEVIN STENLUND,,,,,303.0,13.29,49.0,UTA
Kevin Rooney,KEVIN ROONEY,,,,,8.0,0.25,1.0,UTA
Brandon Tanev,BRANDON TANEV,,,,,209.0,8.69,36.0,UTA
Clayton Keller,CLAYTON KELLER,,,,,562.0,36.09,122.0,UTA
Mikhail Sergachev,MIKHAIL SERGACHEV,,,,,650.0,38.03,123.0,UTA
Michael Carcone,MICHAEL CARCONE,,,,,330.0,16.29,68.0,UTA
Kailer Yamamoto,KAILER YAMAMOTO,,,,,225.0,10.9,40.0,UTA
Nick DeSimone,NICK DESIMONE,,,,,158.0,6.92,26.0,UTA
Sean Durzi,SEAN DURZI,,,,,119.0,5.68,20.0,UTA
Barrett Hayton,BARRETT HAYTON,,,,,385.0,21.57,70.0,UTA
Jack McBain,JACK MCBAIN,,,,,344.0,18.91,78.0,UTA
JJ Peterka,JJ PETERKA,,,,,435.0,23.04,88.0,UTA
Dylan Guenther,DYLAN GUENTHER,,,,,537.0,29.87,103.0,UTA
Logan Cooley,LOGAN COOLEY,,,,,525.0,32.86,117.0,UTA
Dmitri Simashev,DMITRI SIMASHEV,,,,,308.0,16.1,65.0,UTA
